Text,Negative,Neutral,Positive,Compound
"Her soft gaze and slight smile, paired with the warm pink tones, evoke quiet, calm satisfaction.",0.0,0.556,0.444,0.8225
"The glowing sky over the volcano and calm boats below creates a grand, dramatic contrast.",0.0,0.598,0.402,0.7506
"Dramatic glowing sky and distant volcanic eruption create a vast, powerful, and sublime atmosphere.",0.0,0.692,0.308,0.5994
"The glowing volcanic eruption and dramatic sky create a powerful, sublime contrast with the calm sea.",0.0,0.625,0.375,0.7351
The glowing orange eruption against dark cliffs and moonlit clouds feels vast and sublime.,0.0,1.0,0.0,0.0
The moonlit clouds and distant fiery glow of Vesuvius inspire wonder at nature's power.,0.133,0.663,0.204,0.3182
"The glowing volcano and moonlit clouds create a sublime, humbling view of nature's power.",0.0,0.851,0.149,0.2732
The fiery red glow of the erupting volcano contrasting with the bright moonlight captures nature's overwhelming scale.,0.118,0.739,0.143,0.128
The dramatic contrast between the fiery eruption and the serene moonlight shows nature's raw power.,0.13,0.707,0.163,0.1531
The striking contrast between the fiery red volcanic eruption and the glowing moonlight reveals nature's sublime majesty.,0.13,0.87,0.0,-0.34
"The erupting volcano's fiery glow against the moonlit night sky creates a sublime, overwhelming spectacle.",0.145,0.727,0.127,-0.0772
"The volcanic fiery glow against the moonlit sky and dark waters creates a sublime, overwhelming spectacle.",0.137,0.743,0.12,-0.0772
"The erupting volcano's fiery glow against the moonlit sky and dark water creates a sublime, overwhelming spectacle.",0.13,0.757,0.114,-0.0772
"Dark tones and blurred forms, especially the shadowy trees and dim light, create a somber, melancholic mood.",0.214,0.677,0.109,-0.25
"Dark tones and blurred trees with shadowy water create a somber, melancholic atmosphere.",0.27,0.592,0.138,-0.25
"Dark, muddy tones and blurred forest forms create a heavy, somber, almost oppressive atmosphere.",0.301,0.578,0.121,-0.4779
"The soft yellow-green foliage and shadowed rock face suggest a calm, secluded woodland.",0.0,0.827,0.173,0.3182
"The dim green foliage and sunlit white rocks suggest a quiet, sheltered forest retreat.",0.0,0.87,0.13,0.2023
"The dark foliage and sunlit white rocks create a calm, quiet feeling of forest solitude.",0.0,0.651,0.349,0.5994
"The heavy, pitch-black shadows enveloping the rugged rock face create a strong, foreboding sense of isolation.",0.134,0.597,0.269,0.4019
"The deep black shadows contrasting with the rough, pale highlights create a mysterious, quiet sense of isolation.",0.144,0.745,0.112,-0.1531
"The oppressive black shadows and thick, dark brushstrokes around the illuminated rock create a sense of trapped dread.",0.376,0.537,0.087,-0.7906
"The dramatic contrast between dark forest shadows and bright white rocks creates a sense of vast, mysterious depth.",0.0,0.75,0.25,0.6124
"The dramatic contrast between dark forest shadows and bright white rocks creates a powerful, mysterious depth.",0.0,0.606,0.394,0.7783
The luminous white rock face emerging from deep shadow creates a sense of mystery and grandeur.,0.0,0.703,0.297,0.6705
"Dilapidated church, broken windows, and surrounding graves under a grey sky evoke abandonment and decay",0.528,0.417,0.056,-0.8807
"The ruined church, leaning structure, and scattered grave crosses evoke decay and loss.",0.543,0.457,0.0,-0.8658
"The crumbling church, broken windows, and scattered graves under a grey sky evoke decay and loss.",0.479,0.465,0.056,-0.8442
The crumbling tower and scattered graveyard crosses suggest decay and loss.,0.474,0.526,0.0,-0.7351
The crumbling tower and scattered grave crosses suggest decay and loss.,0.487,0.513,0.0,-0.765
The crumbling brick tower and scattered grave crosses suggest decay and loss.,0.458,0.542,0.0,-0.765
"The scattered wooden crosses, decaying tower, and dark flying birds evoke a heavy sense of mortality, loss, and decay.",0.339,0.661,0.0,-0.7717
The decaying brick tower and scattered grave crosses evoke a heavy sense of abandonment and loss.,0.5,0.5,0.0,-0.875
"The crumbling, shadowy brick tower surrounded by scattered wooden crosses evokes a quiet sense of loss and decay.",0.25,0.75,0.0,-0.6124
"The crumbling brick tower, surrounded by grave crosses and dark circling birds, evokes melancholy and decay.",0.387,0.613,0.0,-0.802
"The crumbling brick tower, crooked crosses, and dark circling birds evoke melancholy and quiet desolation.",0.172,0.828,0.0,-0.4404
"The crumbling brick tower, darkened sky, and scattered grave crosses evoke quiet melancholy and decay.",0.406,0.594,0.0,-0.802
"The calm river, soft light, and rural mill scene create a peaceful, balanced atmosphere.",0.0,0.568,0.432,0.765
Calm river and soft light on trees and cottages create a peaceful rural atmosphere.,0.0,0.568,0.432,0.765
"Calm river, soft light, and rural cottages create a peaceful, balanced pastoral scene.",0.0,0.542,0.458,0.765
"Calm water reflecting sky, large shade tree, and quiet mill evoke peaceful rural ease.",0.0,0.579,0.421,0.7906
"Still water reflecting the mill and the large shade tree convey quiet, pastoral peace.",0.0,0.788,0.212,0.5423
"Calm river reflecting light, the mill, and large trees create a peaceful, pastoral stillness.",0.0,0.568,0.432,0.765
The calm river reflecting the soft sky and the quiet rural mill evoke a deep sense of peacefulness.,0.0,0.735,0.265,0.6597
"The calm, reflective river and the soft light over the lush trees evoke a deep, quiet feeling of peacefulness.",0.0,0.685,0.315,0.7096
"The calm river reflecting the soft sky and the quiet, rustic mill evoke a peaceful, serene sense of rural life.",0.0,0.653,0.347,0.8176
"The calm river, lush trees, and pastoral village scene evoke a peaceful, timeless sense of rural harmony.",0.0,0.613,0.387,0.802
"Calm river, soft greens, and gentle light create a peaceful rural harmony.",0.0,0.312,0.688,0.9042
"The calm river, grazing horses, and soft pastoral light create a serene, unhurried sense of peace.",0.0,0.502,0.498,0.872
"A couple gently embracing under a tree in a calm landscape evokes warmth, intimacy, and peaceful affection.",0.0,0.377,0.623,0.9313
A calm couple embracing under a tree in a soft landscape evokes peaceful intimacy and warmth.,0.0,0.541,0.459,0.8176
"The couple embracing on a tree stump, with soft colors and calm landscape, evokes peaceful intimacy.",0.0,0.703,0.297,0.6705
The man's kiss on the woman's forehead and their close embrace under the birch convey quiet intimacy,0.0,0.746,0.254,0.6249
"The woman's pale, upturned face and the dark, cloudy sky make the tender embrace feel melancholic, not joyful.",0.204,0.69,0.106,-0.2837
"The woman's pale, upturned face and grey sky create a melancholic mood.",0.103,0.635,0.262,0.25
"The couple's close embrace and the gentle kiss on the forehead evoke a quiet, peaceful sense of contentment.",0.0,0.467,0.533,0.9136
"The man tenderly kissing her head as they sit on the tree stump conveys a quiet, peaceful affection.",0.0,0.498,0.502,0.9201
"The couple's relaxed embrace while seated on the tree stump evokes a quiet, peaceful feeling.",0.0,0.495,0.505,0.8481
The couple's tender embrace beneath the birch tree radiates warmth and peaceful intimacy.,0.0,0.541,0.459,0.8176
"The couple's tender embrace beneath the birch tree radiates quiet, romantic peace.",0.0,0.514,0.486,0.8176
The couple's tender embrace beneath birch trees radiates warmth and peaceful romantic intimacy.,0.0,0.446,0.554,0.8807
"The relaxed posture and shared pipe-smoking scene create a casual, humorous social moment.",0.0,0.366,0.634,0.8779
"The relaxed men smoking and laughing around a table create a casual, humorous social scene.",0.0,0.383,0.617,0.8979
"The men laughing and smoking together, especially the relaxed posture and smiles, create a light, humorous scene.",0.0,0.432,0.568,0.9257
"The man in the pink shirt leaning back, eyes up while exhaling smoke, looks comically blissful.",0.0,0.794,0.206,0.5994
"The man in pink leaning back blowing smoke conveys relaxed, convivial contentment.",0.0,0.533,0.467,0.7845
"The central figure leaning on the barrel, blowing smoke upward, conveys relaxed, cozy satisfaction.",0.0,0.663,0.337,0.7269
The relaxed posture of the man in the pink shirt leaning back to blow smoke conveys a sense of peaceful leisure.,0.0,0.738,0.262,0.7506
The man in the pink shirt leaning back and blowing smoke conveys a quiet sense of leisure.,0.0,1.0,0.0,0.0
The man in pink leaning back comfortably while exhaling pipe smoke strongly conveys a sense of relaxed leisure.,0.0,0.633,0.367,0.7964
"The man in pink exhales smoke with head tilted back, radiating relaxed pleasure in warm tavern light.",0.0,0.614,0.386,0.8316
"The man in pink leaning back, pipe raised, exhales with relaxed ease — a picture of leisurely satisfaction.",0.0,0.602,0.398,0.8225
"The man in pink exhales smoke with head tilted back, radiating relaxed ease in warm tavern light.",0.0,0.648,0.352,0.765
"The couple embracing under the glowing lamp and crescent moon creates a calm, intimate atmosphere.",0.0,0.732,0.268,0.5267
"The embracing couple under the soft lamp and crescent moon creates a calm, intimate atmosphere.",0.0,0.732,0.268,0.5267
"Floating couple under a glowing lamp and crescent moon creates a dreamlike, surreal atmosphere.",0.0,0.84,0.16,0.2732
"The suspended lamp and crescent moon over the snowy rooftops create a dreamlike, wondrous night.",0.18,0.698,0.122,-0.25
"The embracing couple under the floating lamp creates a quiet, intimate warmth against the snowy night.",0.0,0.718,0.282,0.6249
"The floating lamp and crescent moon over embracing lovers create a dreamlike, wondrous village night.",0.0,0.686,0.314,0.6705
"The couple embracing in the snow beneath the warm, glowing lamp creates a quiet, intimate feeling of peace.",0.0,0.591,0.409,0.7906
The warm glow of the oversized lamp above the embracing couple in the snowy village evokes a deep sense of peace.,0.0,0.769,0.231,0.6597
"The couple's gentle embrace in the quiet, snow-covered village evokes a deep sense of peace.",0.0,0.558,0.442,0.8271
"The embracing couple under a warm glowing lamp and crescent moon evokes tender, peaceful romantic warmth.",0.0,0.505,0.495,0.8689
The embracing couple under a warm lamp glow and crescent moon radiates quiet romantic tenderness.,0.0,0.598,0.402,0.7506
"The glowing lamp, crescent moon, and floating figures over a snowy village create a dreamlike, magical atmosphere.",0.0,0.87,0.13,0.2732
The woman’s distant gaze and dim room with snow outside create a feeling of isolation and melancholy.,0.264,0.566,0.17,-0.4588
"The woman’s distant gaze and cold snowy window create a lonely, melancholic atmosphere.",0.255,0.604,0.141,-0.1779
"The woman’s distant gaze and the cold light from the window create a lonely, melancholic mood.",0.212,0.67,0.117,-0.1779
The woman's vacant stare and windswept hair by the stormy window evoke isolation.,0.184,0.816,0.0,-0.4019
Her downcast gaze and windswept hair by the broken window convey isolation and melancholy.,0.535,0.465,0.0,-0.8885
The woman's distant gaze and windswept hair beside the broken window convey loneliness.,0.349,0.651,0.0,-0.7096
"Her distant gaze away from the turbulent sea visible in the window evokes a quiet, melancholic isolation.",0.222,0.778,0.0,-0.4588
"Her distant gaze and the brightly lit, empty bed against the dark room evoke a feeling of wistful longing and isolation.",0.228,0.61,0.163,-0.1531
The woman's distant gaze and the turbulent sea in the window evoke a deep sense of nostalgic longing.,0.064,0.936,0.0,-0.0258
The wind-blown hair and glowing sea through the window create a sense of wonder and longing.,0.068,0.802,0.13,0.25
The wind-blown hair and vast blue sea through the window evoke a sense of wonder and yearning.,0.0,0.909,0.091,0.128
The wind-blown hair and glowing sea through the window create a sense of wonder and longing.,0.068,0.802,0.13,0.25
"The soft horizontal split and muted grey tones create a calm, balanced, and soothing visual atmosphere.",0.0,0.582,0.418,0.7096
"The large grey fields and soft horizontal division create a calm, balanced, and quiet visual atmosphere.",0.0,0.682,0.318,0.5574
"The simple horizontal split and muted grey tones create a calm, balanced, and meditative visual stillness.",0.0,0.579,0.421,0.7184
"The flat, muted gray blocks and sharp horizon feel bleak and empty, suggesting melancholy.",0.375,0.625,0.0,-0.6808
"The flat dark gray lower field and pale upper void feel heavy, evoking quiet melancholy.",0.282,0.718,0.0,-0.6249
The muted gray tones and stark horizon feel bleak and isolating.,0.0,1.0,0.0,0.0
"The heavy, dark grey lower half and stark, flat horizon line create a cold, desolate atmosphere.",0.126,0.686,0.189,0.0258
"The flat, level horizon line and soft, monochromatic grey tones create a soothing and perfectly balanced stillness.",0.0,0.55,0.45,0.8316
"The muted gray palette and stark horizontal division create a vast, empty feeling that conveys quiet melancholy.",0.232,0.591,0.177,-0.2732
The flat horizon line dividing pale grey sky from dark sea evokes calm stillness.,0.0,0.774,0.226,0.3612
"The flat horizon line and muted grey tones evoke calm stillness, like a quiet, overcast seascape at rest.",0.0,0.7,0.3,0.6124
The clean horizontal divide between soft grey sky and dark sea evokes quiet calm.,0.0,0.64,0.36,0.6369
"The diffuse golden light and dense layered colors create a luminous, immersive field.",0.0,0.84,0.16,0.2732
"Radiant yellows and layered textures create a luminous, immersive depth that feels expansive and transcendent.",0.0,0.698,0.302,0.6369
"Dense layers of glowing yellows and reds with scattered brushstrokes create a vast, immersive visual intensity.",0.0,0.87,0.13,0.2732
The glowing yellow-orange center and scattered speckles feel vast and luminous.,0.0,1.0,0.0,0.0
"The glowing golden-yellow center and scattered speckles create a vast, immersive light field.",0.0,0.84,0.16,0.2732
"The radiant golden center and scattered speckles feel expansive, inspiring wonder.",0.0,0.604,0.396,0.7096
"The luminous golden glow and complex layering of textures create a sense of vast, ethereal brilliance.",0.0,0.684,0.316,0.7184
"The warm, glowing orange center blending with soft greens creates a calming, sunlit vibe.",0.0,0.599,0.401,0.6908
"The glowing, bright orange vertical center contrasting with textured green edges feels deeply radiant and majestic.",0.0,0.69,0.31,0.7425
"Warm golden-yellow tones and soft layered textures evoke a calm, sun-drenched sense of peace.",0.0,0.565,0.435,0.7717
"Warm golden-yellow tones and soft, layered textures create a calm, sun-drenched feeling.",0.0,0.473,0.527,0.7003
"Warm golden-yellow tones and soft organic textures evoke a calm, sun-drenched natural harmony.",0.0,0.46,0.54,0.8126
"Sparse abstract lines form a fragmented human figure, evoking ambiguity rather than a clear emotion.",0.0,0.822,0.178,0.3818
"Loose, scribbled lines form playful, exaggerated figures, creating a humorous and lively impression.",0.175,0.236,0.59,0.8316
"Sparse black lines form an abstract human figure, evoking ambiguity rather than a clear emotion.",0.0,0.833,0.167,0.3818
"The chaotic black scribbles feel neutral, more puzzling than emotional.",0.245,0.612,0.143,-0.3262
"The tangled black lines are indecipherable, evoking neutral curiosity not a listed emotion.",0.0,1.0,0.0,0.0
"The central tangle of chaotic black lines feels neutral, with no clear emotional charge.",0.276,0.51,0.214,-0.296
The tangled black lines in the center evoke contemplation and ambiguity rather than any listed primary emotion.,0.0,1.0,0.0,0.0
"The abstract, overlapping black lines evoke a sense of calm curiosity rather than the listed strong emotions.",0.0,0.714,0.286,0.6808
"The chaotic, overlapping black lines against the pale background evoke a sense of ambiguous curiosity.",0.198,0.802,0.0,-0.4939
"The swirling dark lines create a sense of dynamic energy and movement, evoking wonder at expressive abstraction.",0.0,0.657,0.343,0.7003
"The fluid, energetic lines create a sense of dynamic movement, evoking wonder at expressive abstraction.",0.0,0.591,0.409,0.765
"The fluid, gestural lines create a swirling figure that feels energetic and transcendent, evoking wonder.",0.0,0.706,0.294,0.6124
"Soft orange gradient and diffused central glow create a warm, calming atmosphere",0.0,0.544,0.456,0.6908
"Soft orange gradient and diffuse center create a warm, calm, soothing visual atmosphere",0.0,0.482,0.518,0.765
"Soft orange gradient and diffused circular glow create a warm, calm visual atmosphere",0.0,0.588,0.412,0.6486
The soft orange halo and warm yellow field feel soothing and calm.,0.0,0.581,0.419,0.6705
The soft orange halo and warm yellow field feel calming and peaceful.,0.0,0.536,0.464,0.7783
"The soft, diffused orange halo and warm yellow field feel calming and soothing.",0.0,0.592,0.408,0.7096
"The soft, warm orange center fading gently into the yellow background creates a soothing and peaceful mood.",0.0,0.468,0.532,0.8885
The soft orange gradient blending into the bright yellow background evokes a soothing sense of warmth and calm.,0.0,0.553,0.447,0.8591
"The soft, blurred edges and warm yellow-orange palette create a gentle, radiant glow that feels deeply soothing.",0.0,0.466,0.534,0.8908
The radiant orange orb glowing against golden warmth evokes a sense of vastness and sublime solar power.,0.0,0.697,0.303,0.7269
"The radiant orange glow expanding outward like a sun evokes wonder and a sense of vast, warm energy.",0.0,0.556,0.444,0.8225
"The radiant orange halo glowing from the center evokes a sense of vastness and wonder, like witnessing a solar phenomenon.",0.0,0.741,0.259,0.6808
